"title","author","subject","abstract","date"
"graph-based semantical extractive text analysis","mina samizadeh","computation and language","in the past few decades, there has been an explosion in the amount of available data produced from various sources with different topics. the availability of this enormous data necessitates us to adopt effective computational tools to explore the data. this leads to an intense growing interest in the research community to develop computational methods focused on processing this text data. a line of study focused on condensing the text so that we are able to get a higher level of understanding in a shorter time. the two important tasks to do this are keyword extraction and text summarization. in keyword extraction, we are interested in finding the key important words from a text. this makes us familiar with the general topic of a text. in text summarization, we are interested in producing a short-length text which includes important information about the document. the textrank algorithm, an unsupervised learning method that is an extension of the pagerank (algorithm which is the base algorithm of google search engine for searching pages and ranking them) has shown its efficacy in large-scale text mining, especially for text summarization and keyword extraction. this algorithm can automatically extract the important parts of a text (keywords or sentences) and declare them as the result. however, this algorithm neglects the semantic similarity between the different parts. in this work, we improved the results of the textrank algorithm by incorporating the semantic similarity between parts of the text. aside from keyword extraction and text summarization, we develop a topic clustering algorithm based on our framework which can be used individually or as a part of generating the summary to overcome coverage problems.",2022-12-19
"very large language model as a unified methodology of text mining","meng jiang","databases","text data mining is the process of deriving essential information from language text. typical text mining tasks include text categorization, text clustering, topic modeling, information extraction, and text summarization. various data sets are collected and various algorithms are designed for the different types of tasks. in this paper, i present a blue sky idea that very large language model (vllm) will become an effective unified methodology of text mining. i discuss at least three advantages of this new methodology against conventional methods. finally i discuss the challenges in the design and development of vllm techniques for text mining.",2022-12-19
"earthquake impact analysis based on text mining and social media analytics","zhe zheng, hong-zheng shi, yu-cheng zhou, xin-zheng lu, jia-rui lin","computation and language","earthquakes have a deep impact on wide areas, and emergency rescue operations may benefit from social media information about the scope and extent of the disaster. therefore, this work presents a text miningbased approach to collect and analyze social media data for early earthquake impact analysis. first, disasterrelated microblogs are collected from the sina microblog based on crawler technology. then, after data cleaning a series of analyses are conducted including (1) the hot words analysis, (2) the trend of the number of microblogs, (3) the trend of public opinion sentiment, and (4) a keyword and rule-based text classification for earthquake impact analysis. finally, two recent earthquakes with the same magnitude and focal depth in china are analyzed to compare their impacts. the results show that the public opinion trend analysis and the trend of public opinion sentiment can estimate the earthquake's social impact at an early stage, which will be helpful to decision-making and rescue management.",2022-12-12
"evaluating airline service quality through the comprehensive text-mining and topsis-vikor-aism analysis","haotian xie, yi li, yang pu, chen zhang, junlin huang","applications","service quality rankings are pivotal for maintaining sustainability in the fiercely competitive airline industry. however, prior research in this domain has often fallen short in aspects of sample size, efficiency, and dependability. this study introduces refined insights into this area and establishes a comprehensive, yet highly elucidative, ranking framework. initially, we employ latent semantic analysis (lsa) to distill principal themes and sentiments from online reviews of 80 airlines. subsequently, we utilize the sentiwordnet lexicon and the textblob package for conducting sentiment analysis based on these reviews. following this, we construct a hierarchical structure using the computation of compromise solutions, employing an integrated technique for order preference by similarity to ideal solution, vis-à-vis kriterijumska optimizacija i kompromisno resenje-adversarial interpretive structural model (topsis-vikor-aism) methodology. beyond aiding consumer decision-making and fostering airline growth, this study contributes novel viewpoints on evaluating the efficacy of airlines and other sectors.",2022-12-13
"text mining-based patent analysis for automated rule checking in aec","zhe zheng, bo-rui kang, qi-tian yuan, yu-cheng zhou, xin-zheng lu, jia-rui lin","information retrieval","automated rule checking (arc), which is expected to promote the efficiency of the compliance checking process in the architecture, engineering, and construction (aec) industry, is gaining increasing attention. throwing light on the arc application hotspots and forecasting its trends are useful to the related research and drive innovations. therefore, this study takes the patents from the database of the derwent innovations index database (dii) and china national knowledge infrastructure (cnki) as data sources and then carried out a three-step analysis including (1) quantitative characteristics (i.e., annual distribution analysis) of patents, (2) identification of arc topics using a latent dirichlet allocation (lda) and, (3) sna-based co-occurrence analysis of arc topics. the results show that the research hotspots and trends of chinese and english patents are different. the contributions of this study have three aspects: (1) an approach to a comprehensive analysis of patents by integrating multiple text mining methods (i.e., sna and lda) is introduced ; (2) the application hotspots and development trends of arc are reviewed based on patent analysis; and (3) a signpost for technological development and innovation of arc is provided.",2022-12-12
"robust convex biclustering with a tuning-free method","yifan chen, chunyin lei, chuanquan li, haiqiang ma, ningyuan hu","methodology","biclustering is widely used in different kinds of fields including gene information analysis, text mining, and recommendation system by effectively discovering the local correlation between samples and features. however, many biclustering algorithms will collapse when facing heavy-tailed data. in this paper, we propose a robust version of convex biclustering algorithm with huber loss. yet, the newly introduced robustification parameter brings an extra burden to selecting the optimal parameters. therefore, we propose a tuning-free method for automatically selecting the optimal robustification parameter with high efficiency. the simulation study demonstrates the more fabulous performance of our proposed method than traditional biclustering methods when encountering heavy-tailed noise. a real-life biomedical application is also presented. the r package rcvxbiclustr is available at this https url.",2022-12-06
"aioner: all-in-one scheme-based biomedical named entity recognition using deep learning","ling luo, chih-hsuan wei, po-ting lai, robert leaman, qingyu chen, zhiyong lu","computation and language","biomedical named entity recognition (bioner) seeks to automatically recognize biomedical entities in natural language text, serving as a necessary foundation for downstream text mining tasks and applications such as information extraction and question answering. manually labeling training data for the bioner task is costly, however, due to the significant domain expertise required for accurate annotation. the resulting data scarcity causes current bioner approaches to be prone to overfitting, to suffer from limited generalizability, and to address a single entity type at a time (e.g., gene or disease). we therefore propose a novel all-in-one (aio) scheme that uses external data from existing annotated resources to enhance the accuracy and stability of bioner models. we further present aioner, a general-purpose bioner tool based on cutting-edge deep learning and our aio schema. we evaluate aioner on 14 bioner benchmark tasks and show that aioner is effective, robust, and compares favorably to other state-of-the-art approaches such as multi-task learning. we further demonstrate the practical utility of aioner in three independent tasks to recognize entity types not previously seen in training data, as well as the advantages of aioner over existing methods for processing biomedical text at a large scale (e.g., the entire pubmed data).",2022-11-30
"gapped string indexing in subquadratic space and sublinear query time","philip bille, inge li gørtz, moshe lewenstein, solon p. pissis, eva rotenberg, teresa anna steiner","data structures and algorithms","in gapped string indexing, the goal is to compactly represent a string $s$ of length $n$ such that for any query consisting of two strings $p_1$ and $p_2$, called patterns, and an integer interval $[\alpha, \beta]$, called gap range, we can quickly find occurrences of $p_1$ and $p_2$ in $s$ with distance in $[\alpha, \beta]$. gapped string indexing is a central problem in computational biology and text mining and has thus received significant research interest, including parameterized and heuristic approaches. despite this interest, the best-known time-space trade-offs for gapped string indexing are the straightforward $o(n)$ space and $o(n+occ)$ query time or $\omega(n^2)$ space and $\tilde{o}(|p_1| + |p_2| + occ)$ query time. we break through this barrier obtaining the first interesting trade-offs with polynomially subquadratic space and polynomially sublinear query time. in particular, we show that, for every $0\leq \delta \leq 1$, there is a data structure for gapped string indexing with either $\tilde{o}(n^{2-\delta/3})$ or $\tilde{o}(n^{3-2\delta})$ space and $\tilde{o}(|p_1| + |p_2| + n^{\delta}\cdot (occ+1))$ query time, where $occ$ is the number of reported occurrences. as a new tool towards obtaining our main result, we introduce the shifted set intersection problem. we show that this problem is equivalent to the indexing variant of 3sum (3sum indexing). via a series of reductions, we obtain a solution to the gapped string indexing problem. furthermore, we enhance our data structure for deciding shifted set intersection, so that we can support the reporting variant of the problem. via the obtained equivalence to 3sum indexing, we thus give new improved data structures for the reporting variant of 3sum indexing, and we show how this improves upon the state-of-the-art solution for jumbled indexing for any alphabet of constant size $\sigma>5$.",2022-11-30
"a survey of relevant text mining technology","claudia peersman, matthew edwards, emma williams, awais rashid","cryptography and security","recent advances in text mining and natural language processing technology have enabled researchers to detect an authors identity or demographic characteristics, such as age and gender, in several text genres by automatically analysing the variation of linguistic characteristics. however, applying such techniques in the wild, i.e., in both cybercriminal and regular online social media, differs from more general applications in that its defining characteristics are both domain and process dependent. this gives rise to a number of challenges of which contemporary research has only scratched the surface. more specifically, a text mining approach applied on social media communications typically has no control over the dataset size, the number of available communications will vary across users. hence, the system has to be robust towards limited data availability. additionally, the quality of the data cannot be guaranteed. as a result, the approach needs to be tolerant to a certain degree of linguistic noise (for example, abbreviations, non-standard language use, spelling variations and errors). finally, in the context of cybercriminal fora, it has to be robust towards deceptive or adversarial behaviour, i.e. offenders who attempt to hide their criminal intentions (obfuscation) or who assume a false digital persona (imitation), potentially using coded language. in this work we present a comprehensive survey that discusses the problems that have already been addressed in current literature and review potential solutions. additionally, we highlight which areas need to be given more attention.",2022-11-28
"ai knows which words will appear in next year's korean csat","byunghyun ban, jejong lee, hyeonmok hwang","computation and language","a text-mining-based word class categorization method and lstm-based vocabulary pattern prediction method are introduced in this paper. a preprocessing method based on simple text appearance frequency analysis is first described. this method was developed as a data screening tool but showed 4.35 ~ 6.21 times higher than previous works. an lstm deep learning method is also suggested for vocabulary appearance pattern prediction method. ai performs a regression with various size of data window of previous exams to predict the probabilities of word appearance in the next exam. predicted values of ai over various data windows are processed into a single score as a weighted sum, which we call an ""ai-score"", which represents the probability of word appearance in next year's exam. suggested method showed 100% accuracy at the range 100-score area and showed only 1.7% error of prediction in the section where the scores were over 60 points. all source codes are freely available at the authors' git hub repository. (this https url)",2022-11-24
"automating systematic literature reviews with natural language processing and text mining: a systematic literature review","girish sundaram, daniel berleant","information retrieval","objectives: an slr is presented focusing on text mining based automation of slr creation. the present review identifies the objectives of the automation studies and the aspects of those steps that were automated. in so doing, the various ml techniques used, challenges, limitations and scope of further research are explained. methods: accessible published literature studies that primarily focus on automation of study selection, study quality assessment, data extraction and data synthesis portions of slr. twenty-nine studies were analyzed. results: this review identifies the objectives of the automation studies, steps within the study selection, study quality assessment, data extraction and data synthesis portions that were automated, the various ml techniques used, challenges, limitations and scope of further research. discussion: we describe uses of nlp/tm techniques to support increased automation of systematic literature reviews. this area has attracted increase attention in the last decade due to significant gaps in the applicability of tm to automate steps in the slr process. there are significant gaps in the application of tm and related automation techniques in the areas of data extraction, monitoring, quality assessment and data synthesis. there is thus a need for continued progress in this area, and this is expected to ultimately significantly facilitate the construction of systematic literature reviews.",2022-11-20
"method for determining the similarity of text documents for the kazakh language, taking into account synonyms: extension to tf-idf","bakhyt bakiyev","information retrieval","the task of determining the similarity of text documents has received considerable attention in many areas such as information retrieval, text mining, natural language processing (nlp) and computational linguistics. transferring data to numeric vectors is a complex task where algorithms such as tokenization, stopword filtering, stemming, and weighting of terms are used. the term frequency - inverse document frequency (tf-idf) is the most widely used term weighting method to facilitate the search for relevant documents. to improve the weighting of terms, a large number of tf-idf extensions are made. in this paper, another extension of the tf-idf method is proposed where synonyms are taken into account. the effectiveness of the method is confirmed by experiments on functions such as cosine, dice and jaccard to measure the similarity of text documents for the kazakh language.",2022-11-22
"a large-scale dataset for biomedical keyphrase generation","mael houbre, florian boudin, beatrice daille","computation and language","keyphrase generation is the task consisting in generating a set of words or phrases that highlight the main topics of a document. there are few datasets for keyphrase generation in the biomedical domain and they do not meet the expectations in terms of size for training generative models. in this paper, we introduce kp-biomed, the first large-scale biomedical keyphrase generation dataset with more than 5m documents collected from pubmed abstracts. we train and release several generative models and conduct a series of experiments showing that using large scale datasets improves significantly the performances for present and absent keyphrase generation. the dataset is available under cc-by-nc v4.0 license at this https url datasets/taln-ls2n/kpbiomed.",2022-11-22
"explainable model-specific algorithm selection for multi-label classification","ana kostovska, carola doerr, sašo džeroski, dragi kocev, panče panov, tome eftimov","machine learning","multi-label classification (mlc) is an ml task of predictive modeling in which a data instance can simultaneously belong to multiple classes. mlc is increasingly gaining interest in different application domains such as text mining, computer vision, and bioinformatics. several mlc algorithms have been proposed in the literature, resulting in a meta-optimization problem that the user needs to address: which mlc approach to select for a given dataset? to address this algorithm selection problem, we investigate in this work the quality of an automated approach that uses characteristics of the datasets - so-called features - and a trained algorithm selector to choose which algorithm to apply for a given task. for our empirical evaluation, we use a portfolio of 38 datasets. we consider eight mlc algorithms, whose quality we evaluate using six different performance metrics. we show that our automated algorithm selector outperforms any of the single mlc algorithms, and this is for all evaluated performance measures. our selection approach is explainable, a characteristic that we exploit to investigate which meta-features have the largest influence on the decisions made by the algorithm selector. finally, we also quantify the importance of the most significant meta-features for various domains.",2022-11-21
"coronavirus statistics causes emotional bias: a social media text mining perspective","linjiang guo, zijian feng, yuxue chi, mingzhu wang, yijun liu","computers and society","while covid-19 has impacted humans for a long time, people search the web for pandemic-related information, causing anxiety. from a theoretic perspective, previous studies have confirmed that the number of covid-19 cases can cause negative emotions, but how statistics of different dimensions, such as the number of imported cases, the number of local cases, and the number of government-designated lockdown zones, stimulate people's emotions requires detailed understanding. in order to obtain the views of people on covid-19, this paper first proposes a deep learning model which classifies texts related to the pandemic from text data with place labels. next, it conducts a sentiment analysis based on multi-task learning. finally, it carries out a fixed-effect panel regression with outputs of the sentiment analysis. the performance of the algorithm shows a promising result. the empirical study demonstrates while the number of local cases is positively associated with risk perception, the number of imported cases is negatively associated with confidence levels, which explains why citizens tend to ascribe the protracted pandemic to foreign factors. besides, this study finds that previous pandemic hits cities recover slowly from the suffering, while local governments' spending on healthcare can improve the situation. our study illustrates the reasons for risk perception and confidence based on different sources of statistical information due to cognitive bias. it complements the knowledge related to epidemic information. it also contributes to a framework that combines sentiment analysis using advanced deep learning technology with the empirical regression method.",2022-11-16
"auto-outlier fusion technique for chest x-ray classification with multi-head attention mechanism","yuru jing, zixuan li","image and video processing","a chest x-ray is one of the most widely available radiological examinations for diagnosing and detecting various lung illnesses. the national institutes of health (nih) provides an extensive database, chestx-ray8 and chestxray14, to help establish a deep learning community for analysing and predicting lung diseases. chestx-ray14 consists of 112,120 frontal-view x-ray images of 30,805 distinct patients with text-mined fourteen disease image labels, where each image has multiple labels and has been utilised in numerous research in the past. to our current knowledge, no previous study has investigated outliers and multi-label impact for a single x-ray image during the preprocessing stage. the effect of outliers is mitigated in this paper by our proposed auto-outlier fusion technique. the image label is regenerated by concentrating on a particular factor in one image. the final cleaned dataset will be used to compare the mechanisms of multi-head self-attention and multi-head attention with generalised max-pooling.",2022-11-15
"geoai for knowledge graph construction: identifying causality between cascading events to support environmental resilience research","yuanyuan tian, wenwen li","artificial intelligence","knowledge graph technology is considered a powerful and semantically enabled solution to link entities, allowing users to derive new knowledge by reasoning data according to various types of reasoning rules. however, in building such a knowledge graph, events modeling, such as that of disasters, is often limited to single, isolated events. the linkages among cascading events are often missing in existing knowledge graphs. this paper introduces our geoai (geospatial artificial intelligence) solutions to identify causality among events, in particular, disaster events, based on a set of spatially and temporally-enabled semantic rules. through a use case of causal disaster events modeling, we demonstrated how these defined rules, including theme-based identification of correlated events, spatiotemporal co-occurrence constraint, and text mining of event metadata, enable the automatic extraction of causal relationships between different events. our solution enriches the event knowledge base and allows for the exploration of linked cascading events in large knowledge graphs, therefore empowering knowledge query and discovery.",2022-11-11
"arabic text mining","sumaia mohammed al-ghuribi, shahrul azman mohd noah","information retrieval","the rapid growth of the internet has increased the number of online texts. this led to the rapid growth of the number of online texts in the arabic language. the enormous amount of text must be organized into classes to make the analysis process and text retrieval easier. text classification is, therefore, a key component of text mining. there are numerous systems and approaches for categorizing literature in english, european (french, german, spanish), and asian (chinese, japanese). in contrast, there are relatively few studies on categorizing arabic literature due to the difficulty of the arabic language. in this work, a brief explanation of key ideas relevant to arabic text mining are introduced then a new classification system for the arabic language is presented using light stemming and classifier naïve bayesian (cnb). texts from two classes: politics and sports, are included in our corpus. some texts are added to the system, and the system correctly classified them, demonstrating the effectiveness of the system.",2022-11-04
"automated code extraction from discussion board text dataset","sina mahdipour saravani, sadaf ghaffari, yanye luther, james folkestad, marcia moraes","machine learning","this study introduces and investigates the capabilities of three different text mining approaches, namely latent semantic analysis, latent dirichlet analysis, and clustering word vectors, for automating code extraction from a relatively small discussion board dataset. we compare the outputs of each algorithm with a previous dataset that was manually coded by two human raters. the results show that even with a relatively small dataset, automated approaches can be an asset to course instructors by extracting some of the discussion codes, which can be used in epistemic network analysis.",2022-10-31
"can current explainability help provide references in clinical notes to support humans annotate medical codes?","byung-hak kim, zhongfen deng, philip s. yu, varun ganapathi","machine learning","the medical codes prediction problem from clinical notes has received substantial interest in the nlp community, and several recent studies have shown the state-of-the-art (sota) code prediction results of full-fledged deep learning-based methods. however, most previous sota works based on deep learning are still in early stages in terms of providing textual references and explanations of the predicted codes, despite the fact that this level of explainability of the prediction outcomes is critical to gaining trust from professional medical coders. this raises the important question of how well current explainability methods apply to advanced neural network models such as transformers to predict correct codes and present references in clinical notes that support code prediction. first, we present an explainable read, attend, and code (xrac) framework and assess two approaches, attention score-based xrac-attn and model-agnostic knowledge-distillation-based xrac-kd, through simplified but thorough human-grounded evaluations with sota transformer-based model, rac. we find that the supporting evidence text highlighted by xrac-attn is of higher quality than xrac-kd whereas xrac-kd has potential advantages in production deployment scenarios. more importantly, we show for the first time that, given the current state of explainability methodologies, using the sota medical codes prediction system still requires the expertise and competencies of professional coders, even though its prediction accuracy is superior to that of human coders. this, we believe, is a very meaningful step toward developing explainable and accurate machine learning systems for fully autonomous medical code prediction from clinical notes.",2022-10-28
"machine and deep learning methods with manual and automatic labelling for news classification in bangla language","istiak ahmad, fahad alqurashi, rashid mehmood","artificial intelligence","research in natural language processing (nlp) has increasingly become important due to applications such as text classification, text mining, sentiment analysis, pos tagging, named entity recognition, textual entailment, and many others. this paper introduces several machine and deep learning methods with manual and automatic labelling for news classification in the bangla language. we implemented several machine (ml) and deep learning (dl) algorithms. the ml algorithms are logistic regression (lr), stochastic gradient descent (sgd), support vector machine (svm), random forest (rf), and k-nearest neighbour (knn), used with bag of words (bow), term frequency-inverse document frequency (tf-idf), and doc2vec embedding models. the dl algorithms are long short-term memory (lstm), bidirectional lstm (bilstm), gated recurrent unit (gru), and convolutional neural network (cnn), used with word2vec, glove, and fasttext word embedding models. we develop automatic labelling methods using latent dirichlet allocation (lda) and investigate the performance of single-label and multi-label article classification methods. to investigate performance, we developed from scratch potrika, the largest and the most extensive dataset for news classification in the bangla language, comprising 185.51 million words and 12.57 million sentences contained in 664,880 news articles in eight distinct categories, curated from six popular online news portals in bangladesh for the period 2014-2020. gru and fasttext with 91.83% achieve the highest accuracy for manually-labelled data. for the automatic labelling case, knn and doc2vec at 57.72% and 75% achieve the highest accuracy for single-label and multi-label data, respectively. the methods developed in this paper are expected to advance research in bangla and other languages.",2022-10-19
"using bottleneck adapters to identify cancer in clinical notes under low-resource constraints","omid rohanian, hannah jauncey, mohammadmahdi nouriborji, vinod kumar chauhan, bronner p. gonçalves, christiana kartsonaki, isaric clinical characterisation group, laura merson, david clifton","computation and language","processing information locked within clinical health records is a challenging task that remains an active area of research in biomedical nlp. in this work, we evaluate a broad set of machine learning techniques ranging from simple rnns to specialised transformers such as biobert on a dataset containing clinical notes along with a set of annotations indicating whether a sample is cancer-related or not. furthermore, we specifically employ efficient fine-tuning methods from nlp, namely, bottleneck adapters and prompt tuning, to adapt the models to our specialised task. our evaluations suggest that fine-tuning a frozen bert model pre-trained on natural language and with bottleneck adapters outperforms all other strategies, including full fine-tuning of the specialised biobert model. based on our findings, we suggest that using bottleneck adapters in low-resource situations with limited access to labelled data or processing capacity could be a viable strategy in biomedical text mining. the code used in the experiments are going to be made available at this https url.",2022-10-17
"smtce: a social media text classification evaluation benchmark and bertology models for vietnamese","luan thanh nguyen, kiet van nguyen, ngan luu-thuy nguyen","computation and language","text classification is a typical natural language processing or computational linguistics task with various interesting applications. as the number of users on social media platforms increases, data acceleration promotes emerging studies on social media text classification (smtc) or social media text mining on these valuable resources. in contrast to english, vietnamese, one of the low-resource languages, is still not concentrated on and exploited thoroughly. inspired by the success of the glue, we introduce the social media text classification evaluation (smtce) benchmark, as a collection of datasets and models across a diverse set of smtc tasks. with the proposed benchmark, we implement and analyze the effectiveness of a variety of multilingual bert-based models (mbert, xlm-r, and distilmbert) and monolingual bert-based models (phobert, vibert, velectra, and vibert4news) for tasks in the smtce benchmark. monolingual models outperform multilingual models and achieve state-of-the-art results on all text classification tasks. it provides an objective assessment of multilingual and monolingual bert-based models on the benchmark, which will benefit future studies about bertology in the vietnamese language.",2022-09-21
"the language and social behavior of innovators","a. fronzetti colladon, l. toschi, e. ughetto, f. greco","computation and language","innovators are creative people who can conjure the ground-breaking ideas that represent the main engine of innovative organizations. past research has extensively investigated who innovators are and how they behave in work-related activities. in this paper, we suggest that it is necessary to analyze how innovators behave in other contexts, such as in informal communication spaces, where knowledge is shared without formal structure, rules, and work obligations. drawing on communication and network theory, we analyze about 38,000 posts available in the intranet forum of a large multinational company. from this, we explain how innovators differ from other employees in terms of social network behavior and language characteristics. through text mining, we find that innovators write more, use a more complex language, introduce new concepts/ideas, and use positive but factual-based language. understanding how innovators behave and communicate can support the decision-making processes of managers who want to foster innovation.",2022-09-20
"hapi: a large-scale longitudinal dataset of commercial ml api predictions","lingjiao chen, zhihua jin, sabri eyuboglu, christopher ré, matei zaharia, james zou","software engineering","commercial ml apis offered by providers such as google, amazon and microsoft have dramatically simplified ml adoption in many applications. numerous companies and academics pay to use ml apis for tasks such as object detection, ocr and sentiment analysis. different ml apis tackling the same task can have very heterogeneous performance. moreover, the ml models underlying the apis also evolve over time. as ml apis rapidly become a valuable marketplace and a widespread way to consume machine learning, it is critical to systematically study and compare different apis with each other and to characterize how apis change over time. however, this topic is currently underexplored due to the lack of data. in this paper, we present hapi (history of apis), a longitudinal dataset of 1,761,417 instances of commercial ml api applications (involving apis from amazon, google, ibm, microsoft and other providers) across diverse tasks including image tagging, speech recognition and text mining from 2020 to 2022. each instance consists of a query input for an api (e.g., an image or text) along with the api's output prediction/annotation and confidence scores. hapi is the first large-scale dataset of ml api usages and is a unique resource for studying ml-as-a-service (mlaas). as examples of the types of analyses that hapi enables, we show that ml apis' performance change substantially over time--several apis' accuracies dropped on specific benchmark datasets. even when the api's aggregate performance stays steady, its error modes can shift across different subtypes of data between 2020 and 2022. such changes can substantially impact the entire analytics pipelines that use some ml api as a component. we further use hapi to study commercial apis' performance disparities across demographic subgroups over time. hapi can stimulate more research in the growing field of mlaas.",2022-09-18
"chemnlp: a natural language processing based library for materials chemistry text data","kamal choudhary, mathew l. kelley","materials science","in this work, we present the chemnlp library that can be used for 1) curating open access datasets for materials and chemistry literature, developing and comparing traditional machine learning, transformers and graph neural network models for 2) classifying and clustering texts, 3) named entity recognition for large-scale text-mining, 4) abstractive summarization for generating titles of articles from abstracts, 5) text generation for suggesting abstracts from titles, 6) integration with density functional theory dataset for identifying potential candidate materials such as superconductors, and 7) web-interface development for text and reference query. we primarily use the publicly available arxiv and pubchem datasets but the tools can be used for other datasets as well. moreover, as new models are developed, they can be easily integrated in the library. chemnlp is available at the websites: this https url and this https url.",2022-09-17
"unicausal: unified benchmark and repository for causal text mining","fiona anting tan, xinyu zuo, see-kiong ng","computation and language","current causal text mining datasets vary in objectives, data coverage, and annotation schemes. these inconsistent efforts prevent modeling capabilities and fair comparisons of model performance. furthermore, few datasets include cause-effect span annotations, which are needed for end-to-end causal relation extraction. to address these issues, we propose unicausal, a unified benchmark for causal text mining across three tasks: (i) causal sequence classification, (ii) cause-effect span detection and (iii) causal pair classification. we consolidated and aligned annotations of six high quality, mainly human-annotated, corpora, resulting in a total of 58,720, 12,144 and 69,165 examples for each task respectively. since the definition of causality can be subjective, our framework was designed to allow researchers to work on some or all datasets and tasks. to create an initial benchmark, we fine-tuned bert pre-trained language models to each task, achieving 70.10% binary f1, 52.42% macro f1, and 84.68% binary f1 scores respectively.",2022-08-19
"twitter attribute classification with q-learning on bitcoin price prediction","sattarov otabek, jaeyoung choi","social and information networks","aspiring to achieve an accurate bitcoin price prediction based on people's opinions on twitter usually requires millions of tweets, using different text mining techniques (preprocessing, tokenization, stemming, stop word removal), and developing a machine learning model to perform the prediction. these attempts lead to the employment of a significant amount of computer power, central processing unit (cpu) utilization, random-access memory (ram) usage, and time. to address this issue, in this paper, we consider a classification of tweet attributes that effects on price changes and computer resource usage levels while obtaining an accurate price prediction. to classify tweet attributes having a high effect on price movement, we collect all bitcoin-related tweets posted in a certain period and divide them into four categories based on the following tweet attributes: $(i)$ the number of followers of the tweet poster, $(ii)$ the number of comments on the tweet, $(iii)$ the number of likes, and $(iv)$ the number of retweets. we separately train and test by using the q-learning model with the above four categorized sets of tweets and find the best accurate prediction among them. especially, we design several reward functions to improve the prediction accuracy of the q-leaning. we compare our approach with a classic approach where all bitcoin-related tweets are used as input data for the model, by analyzing the cpu workloads, ram usage, memory, time, and prediction accuracy. the results show that tweets posted by users with the most followers have the most influence on a future price, and their utilization leads to spending 80\% less time, 88.8\% less cpu consumption, and 12.5\% more accurate predictions compared with the classic approach.",2022-08-04
"evaluating and improving social awareness of energy communities through semantic network analysis of online news","c. piselli, a. fronzetti colladon, l. segneri, a. l. pisello","social and information networks","the implementation of energy communities represents a cross-disciplinary phenomenon that has the potential to support the energy transition while fostering citizens' participation throughout the energy system and their exploitation of renewables. an important role is played by online information sources in engaging people in this process and increasing their awareness of associated benefits. in this view, this work analyses online news data on energy communities to understand people's awareness and the media importance of this topic. we use the semantic brand score (sbs) indicator as an innovative measure of semantic importance, combining social network analysis and text mining methods. results show different importance trends for energy communities and other energy and society-related topics, also allowing the identification of their connections. our approach gives evidence to information gaps and possible actions that could be taken to promote a low-carbon energy transition.",2022-08-03
"joint learning-based causal relation extraction from biomedical literature","dongling li, pengchao wu, yuehu dong, jinghang gu, longhua qian, guodong zhou","computation and language","causal relation extraction of biomedical entities is one of the most complex tasks in biomedical text mining, which involves two kinds of information: entity relations and entity functions. one feasible approach is to take relation extraction and function detection as two independent sub-tasks. however, this separate learning method ignores the intrinsic correlation between them and leads to unsatisfactory performance. in this paper, we propose a joint learning model, which combines entity relation extraction and entity function detection to exploit their commonality and capture their inter-relationship, so as to improve the performance of biomedical causal relation extraction. meanwhile, during the model training stage, different function types in the loss function are assigned different weights. specifically, the penalty coefficient for negative function instances increases to effectively improve the precision of function detection. experimental results on the biocreative-v track 4 corpus show that our joint learning model outperforms the separate models in bel statement extraction, achieving the f1 scores of 58.4% and 37.3% on the test set in stage 2 and stage 1 evaluations, respectively. this demonstrates that our joint learning system reaches the state-of-the-art performance in stage 2 compared with other systems.",2022-08-02
"knowledge-driven mechanistic enrichment of the preeclampsia ignorome","tiffany j. callahan, adrianne l. stefanski, jin-dong kim, william a. baumgartner jr., jordan m. wyrwa, lawrence e. hunter","genomics","preeclampsia is a leading cause of maternal and fetal morbidity and mortality. currently, the only definitive treatment of preeclampsia is delivery of the placenta, which is central to the pathogenesis of the disease. transcriptional profiling of human placenta from pregnancies complicated by preeclampsia has been extensively performed to identify differentially expressed genes (degs). the decisions to investigate degs experimentally are biased by many factors, causing many degs to remain uninvestigated. a set of degs which are associated with a disease experimentally, but which have no known association to the disease in the literature are known as the ignorome. preeclampsia has an extensive body of scientific literature, a large pool of deg data, and only one definitive treatment. tools facilitating knowledge-based analyses, which are capable of combining disparate data from many sources in order to suggest underlying mechanisms of action, may be a valuable resource to support discovery and improve our understanding of this disease. in this work we demonstrate how a biomedical knowledge graph (kg) can be used to identify novel preeclampsia molecular mechanisms. existing open source biomedical resources and publicly available high-throughput transcriptional profiling data were used to identify and annotate the function of currently uninvestigated preeclampsia-associated degs. experimentally investigated genes associated with preeclampsia were identified from pubmed abstracts using text-mining methodologies. the relative complement of the text-mined- and meta-analysis-derived lists were identified as the uninvestigated preeclampsia-associated degs (n=445), i.e., the preeclampsia ignorome. using the kg to investigate relevant degs revealed 53 novel clinically relevant and biologically actionable mechanistic associations.",2022-07-28
"patent search using triplet networks based fine-tuned scibert","utku umur acikalin, mucahid kutlu","information retrieval","in this paper, we propose a novel method for the prior-art search task. we fine-tune scibert transformer model using triplet network approach, allowing us to represent each patent with a fixed-size vector. this also enables us to conduct efficient vector similarity computations to rank patents in query time. in our experiments, we show that our proposed method outperforms baseline methods.",2022-07-23
